Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TD,Reciev_Rec,Reciev_Yds,Reciev_TD,Solo,Int,Sk,College/Univ
4,129,DAL,Jake Ferguson,TE,23,2024,0,1,2,15,15,47,0,0,0,0,0,0,0,0,149,1429,7,1,,,Wisconsin
4,130,BAL,Jordan Stout,P,24,2024,0,0,2,6,6,51,0,0,0,0,0,0,0,0,0,0,0,2,,,Penn St.
4,131,TEN,Hassan Haskins,RB,22,2024,0,0,0,2,1,32,0,0,0,0,0,59,182,2,14,106,1,11,,,Michigan
4,132,GNB,Romeo Doubs,WR,22,2024,0,0,2,16,16,43,0,0,0,0,0,1,11,0,147,1700,15,,,,Nevada
4,133,TAM,Jake Camarda,P,23,2024,0,0,2,8,8,38,0,0,0,0,0,0,0,0,0,0,0,6,,,Georgia
4,134,SFO,Spencer Burford,OL,22,2024,0,0,2,14,14,45,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas-San Antonio
4,135,KAN,Joshua Williams,CB,22,2024,0,0,0,5,5,50,0,0,0,0,0,0,0,0,0,0,0,62,1,1,Fayetteville St.
4,136,CIN,Cordell Volson,T,24,2024,0,0,3,22,22,50,0,0,0,0,0,0,0,0,0,0,0,,,,North Dakota St.
4,137,NWE,Bailey Zappe,QB,23,2024,0,0,0,2,2,15,208,335,2223,12,14,29,85,1,1,-6,0,,,,Western Kentucky
4,138,PIT,Calvin Austin III,WR,23,2024,0,0,0,8,8,34,0,0,0,0,0,11,57,1,53,728,5,,,,Memphis
4,139,BAL,Isaiah Likely,TE,22,2024,0,0,1,12,12,49,0,0,0,0,0,0,0,0,108,1261,14,4,,,Coastal Carolina
4,140,GNB,Zach Tom,OL,23,2024,0,0,2,20,20,43,0,0,0,0,0,0,0,0,0,0,0,1,,,Wake Forest
4,141,BAL,Damarion Williams,CB,24,2023,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,15,,,Houston
4,142,LAR,Cobie Durant,DB,24,2024,0,0,2,10,10,44,0,0,0,0,0,0,0,0,0,0,0,66,4,2,South Carolina St.
4,143,TEN,Chigoziem Okonkwo,TE,22,2024,0,0,1,12,12,51,0,0,0,0,0,6,25,0,138,1457,6,8,,,Maryland
5,144,WAS,Sam Howell,QB,21,2024,0,0,1,12,12,20,404,645,4139,22,23,54,300,6,1,4,0,,,,North Carolina
5,145,KAN,Darian Kinnard,T,22,2024,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Kentucky
5,146,NYG,Micah McFadden,LB,22,2024,0,0,2,18,18,47,0,0,0,0,0,0,0,0,0,0,0,159,1,6,Indiana
5,147,NYG,D.J. Davidson,DT,22,2024,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,20,,2.5,Arizona St.
5,148,BUF,Khalil Shakir,WR,22,2024,0,0,2,18,18,46,0,0,0,0,0,3,14,0,125,1593,7,1,,,Boise St.
5,149,WAS,Cole Turner,TE,22,2023,0,0,0,1,1,22,0,0,0,0,0,0,0,0,13,143,0,1,,,Nevada
5,150,HOU,Thomas Booker,DE,22,2024,0,0,0,3,1,27,0,0,0,0,0,0,0,0,0,0,0,19,,1.5,Stanford
5,151,ATL,Tyler Allgeier,RB,22,2024,0,0,0,16,16,50,0,0,0,0,0,533,2362,10,47,420,2,4,,,BYU
5,152,DEN,Delarrin Turner-Yell,S,22,2023,0,0,0,2,2,30,0,0,0,0,0,0,0,0,0,0,0,32,,,Oklahoma
5,153,SEA,Riq Woolen,CB,23,2024,0,1,3,19,19,48,0,0,0,0,0,0,0,0,0,0,0,120,11,,Texas-San Antonio
5,154,JAX,Snoop Conner,RB,22,2022,0,0,0,0,0,8,0,0,0,0,0,12,42,1,0,0,0,1,,,Mississippi
5,155,DAL,Matt Waletzko,OL,22,2024,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,North Dakota
5,156,CLE,Jerome Ford,RB,22,2024,0,0,1,10,10,44,0,0,0,0,0,316,1390,7,81,544,5,1,,,Cincinnati
5,157,TAM,Zyon McCollum,DB,23,2024,0,0,2,13,13,47,0,0,0,0,0,0,0,0,0,0,0,122,2,,Sam Houston St.
5,158,SEA,Tyreke Smith,DE,22,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.
5,159,IND,Eric Johnson,DT,24,2024,0,0,0,3,2,39,0,0,0,0,0,0,0,0,0,0,0,9,,1,Missouri State
5,160,LAC,Otito Ogbonnia,DT,22,2024,0,0,1,11,11,32,0,0,0,0,0,0,0,0,0,0,0,37,,,UCLA
5,161,NOR,D'Marco Jackson,LB,24,2024,0,0,0,3,3,27,0,0,0,0,0,0,0,0,0,0,0,11,,,Appalachian St.
5,162,DEN,Montrell Washington,WR,23,2024,0,0,0,0,0,22,0,0,0,0,0,5,30,0,4,2,0,,,,Samford
5,163,TEN,Kyle Philips,WR,23,2023,0,0,0,3,3,13,0,0,0,0,0,0,0,0,23,259,0,,,,UCLA
5,164,LAR,Kyren Williams,RB,22,2024,0,1,2,20,20,38,0,0,0,0,0,579,2582,26,75,464,5,2,,,Notre Dame
5,165,MIN,Esezi Otomewo,DT,23,2024,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,3,,0.5,Minnesota
5,166,CIN,Tycen Anderson,S,23,2024,0,0,0,1,1,24,0,0,0,0,0,0,0,0,0,0,0,15,,,Toledo
5,167,DAL,DaRon Bland,DB,23,2024,1,1,1,19,19,41,0,0,0,0,0,0,0,0,0,0,0,120,14,,Fresno St.
5,168,CHI,Braxton Jones,OL,23,2024,0,0,3,16,16,40,0,0,0,0,0,0,0,0,0,0,0,1,,,Southern Utah
5,169,MIN,Ty Chandler,RB,24,2024,0,0,0,6,6,37,0,0,0,0,0,164,663,3,27,201,0,3,,,North Carolina
5,170,HOU,Teagan Quitoriano,TE,22,2024,0,0,0,1,1,23,0,0,0,0,0,0,0,0,9,146,2,2,,,Oregon St.
5,171,DEN,Luke Wattenberg,OL,24,2024,0,0,1,7,7,36,0,0,0,0,0,0,0,0,0,0,0,,,,Washington
5,172,SFO,Samuel Womack,CB,23,2024,0,0,0,6,2,40,0,0,0,0,0,0,0,0,0,0,0,45,3,,Toledo
5,173,NYG,Marcus McKethan,OL,23,2023,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina
5,174,CHI,Dominique Robinson,DE,24,2024,0,0,0,5,5,34,0,0,0,0,0,0,0,0,0,0,0,28,,2,Miami (OH)
5,175,LVR,Matthew Butler,DT,23,2024,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,5,,0.5,Tennessee
5,176,DAL,Damone Clark,LB,22,2024,0,0,1,13,13,41,0,0,0,0,0,0,0,0,0,0,0,115,,0.5,LSU
5,177,DET,James Mitchell,TE,23,2024,0,0,0,1,1,30,0,0,0,0,0,0,0,0,13,141,1,,,,Virginia Tech
5,178,DAL,John Ridgeway,DT,23,2024,0,0,0,6,,45,0,0,0,0,0,0,0,0,0,0,0,33,,,Arkansas
5,179,GNB,Kingsley Enagbare,DE,22,2024,0,0,0,11,11,51,0,0,0,0,0,0,0,0,0,0,0,63,,9.5,South Carolina
6,180,BUF,Matt Araiza,P,22,2024,0,0,0,3,,17,0,0,0,0,0,0,0,0,0,0,0,2,,,San Diego St.
6,181,PHI,Kyron Johnson,DE,24,2023,0,0,0,1,1,22,0,0,0,0,0,0,0,0,0,0,0,6,,,Kansas
